"State","year","month","NO2.AQI","O3.AQI","SO2.AQI","CO.AQI"
"Arizona",2000,1,74.8924731182796,28.5967741935484,13.2795698924731,27.2096774193548
"Arizona",2000,2,68.3563218390805,38.6436781609195,10.6034482758621,20.0402298850575
"Arizona",2000,3,49.1075268817204,40.0537634408602,7.1505376344086,13.6612903225806
"Arizona",2000,4,50.2666666666667,48.2833333333333,8.16666666666667,13.15
"Arizona",2000,5,25.258064516129,62.2258064516129,7.98387096774194,10.4032258064516
"Arizona",2000,6,37.05,43.5833333333333,4.86666666666667,6.81666666666667
"Arizona",2000,7,34.4677419354839,54.1451612903226,4.11290322580645,6.69354838709677
"Arizona",2000,8,33.6774193548387,65,3.32258064516129,5.87096774193548
"Arizona",2000,9,42.4666666666667,42.4888888888889,4.67222222222222,9.85
"Arizona",2000,10,40.4301075268817,30.0483870967742,4.82258064516129,13.1129032258065
"Arizona",2000,11,43.4055555555556,23.2444444444444,7.49444444444444,16.5222222222222
"Arizona",2000,12,48.0322580645161,18.7311827956989,10.1935483870968,26.3978494623656
"Arizona",2001,1,42.7956989247312,22.752688172043,5.80645161290323,18.0430107526882
"Arizona",2001,2,42.8690476190476,24.3154761904762,6.32738095238095,15.672619047619
"Arizona",2001,3,46.1935483870968,35.747311827957,6.60215053763441,12.4139784946237
"Arizona",2001,4,46.0611111111111,44.3388888888889,4.12777777777778,11.0777777777778
"Arizona",2001,5,44.2741935483871,50.3709677419355,6.43548387096774,11.1774193548387
"Arizona",2001,6,37.1833333333333,50.05,4.48333333333333,8.46666666666667
"Arizona",2001,7,27.6290322580645,45.758064516129,2.37096774193548,5.48387096774194
"Arizona",2001,8,33.6451612903226,52.3387096774194,2.74193548387097,6.85483870967742
"Arizona",2001,9,38.5166666666667,39.4611111111111,5.66666666666667,10.1388888888889
"Arizona",2001,10,44.9139784946237,32.6451612903226,6.89247311827957,13.9677419354839
"Arizona",2001,11,42.6277777777778,24.4833333333333,6.85,16.4833333333333
"Arizona",2001,12,45.3333333333333,19.1827956989247,8.81720430107527,21.2150537634409
"Arizona",2002,1,48.510752688172,21.5967741935484,9.93010752688172,20.7849462365591
"Arizona",2002,2,50.0595238095238,31.3988095238095,9.14880952380952,18.6369047619048
"Arizona",2002,3,44.6720430107527,39.2795698924731,6.22043010752688,11.3279569892473
"Arizona",2002,4,39.7222222222222,42.8388888888889,5.65,10.2
"Arizona",2002,5,43.0483870967742,53.0483870967742,7.12903225806452,10.1935483870968
"Arizona",2002,6,42.4,55.2666666666667,5.98333333333333,9.5
"Arizona",2002,7,29.1451612903226,51.8225806451613,3.01612903225806,5.14516129032258
"Arizona",2002,8,34.4838709677419,45.8064516129032,4.96774193548387,7.95161290322581
"Arizona",2002,9,40.7666666666667,41.1666666666667,4.57222222222222,9.76111111111111
"Arizona",2002,10,48.4516129032258,34.6344086021505,6.53763440860215,15.3548387096774
"Arizona",2002,11,47.5333333333333,26.5555555555556,8.31111111111111,17.7
"Arizona",2002,12,41.5752688172043,20.9193548387097,7.31720430107527,17.752688172043
"Arizona",2003,1,47.8817204301075,21.247311827957,8.49462365591398,20.010752688172
"Arizona",2003,2,42.7380952380952,26.922619047619,6.48809523809524,12.6488095238095
"Arizona",2003,3,45.0806451612903,36.9193548387097,5.18279569892473,10.0322580645161
"Arizona",2003,4,43.2666666666667,44.65,6.11111111111111,8.22777777777778
"Arizona",2003,5,43.1290322580645,60.6451612903226,5.79032258064516,8
"Arizona",2003,6,35,46.8333333333333,6.95,7.03333333333333
"Arizona",2003,7,29.4838709677419,58.6774193548387,4.53225806451613,6.03225806451613
"Arizona",2003,8,30.0645161290323,38.0322580645161,4.74193548387097,5.03225806451613
"Arizona",2003,9,34.1333333333333,30.4333333333333,4.5,6.13333333333333
"Arizona",2003,10,46.1290322580645,33.0967741935484,7.09677419354839,14.1935483870968
"Arizona",2003,11,42.6166666666667,24.4444444444444,7.25,15.6222222222222
"Arizona",2003,12,45.6774193548387,21.9354838709677,8.06451612903226,18.741935483871
"Arizona",2004,1,42.4193548387097,22.8602150537634,7.10752688172043,15.1397849462366
"Arizona",2004,2,45.2183908045977,30.5172413793103,6.60919540229885,12.3793103448276
"Arizona",2004,3,43.3817204301075,38.6397849462366,4.83333333333333,9.56451612903226
"Arizona",2004,4,39.6833333333333,49.5333333333333,5,7.11666666666667
"Arizona",2004,5,36.8387096774194,48.741935483871,4.59677419354839,6.85483870967742
"Arizona",2004,6,34.4666666666667,45.2666666666667,4.95,6.3
"Arizona",2004,7,30.3225806451613,48.0483870967742,4.74193548387097,4.79032258064516
"Arizona",2004,8,32.5,46.8225806451613,5.7741935483871,5.56451612903226
"Arizona",2004,9,39.6333333333333,45.7111111111111,5.98333333333333,8.41111111111111
"Arizona",2004,10,38.2043010752688,30.5161290322581,6.7741935483871,10.2043010752688
"Arizona",2004,11,36.3888888888889,21.1833333333333,5.86666666666667,11.5166666666667
"Arizona",2004,12,37.6935483870968,17.4032258064516,7.7741935483871,14.8763440860215
"Arizona",2005,1,36.5268817204301,17.6881720430108,5.19354838709677,12.9677419354839
"Arizona",2005,2,34.2023809523809,23.5833333333333,2.72619047619048,8.42857142857143
"Arizona",2005,3,39.4489247311828,35.2231182795699,3.92204301075269,8.93279569892473
"Arizona",2005,4,46.59,48.2066666666667,5.04833333333333,10.9766666666667
"Arizona",2005,5,39.4139784946237,49.9462365591398,6.24731182795699,9.83870967741935
"Arizona",2005,6,37.8666666666667,53.575,6.43333333333333,7.36666666666667
"Arizona",2005,7,32.3225806451613,53.8064516129032,5.01612903225806,7.20161290322581
"Arizona",2005,8,30.9677419354839,48.6290322580645,4.10483870967742,5.89516129032258
"Arizona",2005,9,39.26,42.8066666666667,4.94666666666667,8.96
"Arizona",2005,10,40.2370967741935,33.7629032258065,5.56612903225806,12.0806451612903
"Arizona",2005,11,43.9861111111111,24.9111111111111,7.46944444444444,18.9527777777778
"Arizona",2005,12,45.3817204301075,16.3010752688172,7.64784946236559,22.7365591397849
"Arizona",2006,1,45.0322580645161,25.1612903225806,9.15322580645161,17.2983870967742
"Arizona",2006,2,46.7410714285714,30.8660714285714,7.78571428571429,14.1785714285714
"Arizona",2006,3,39.3306451612903,37.0645161290323,4.00806451612903,8.70967741935484
"Arizona",2006,4,43.2316666666667,46.5416666666667,4.09,9.07
"Arizona",2006,5,36.8548387096774,50.1693548387097,3.33870967741935,6.80645161290323
"Arizona",2006,6,34.675,65.7416666666667,4.04166666666667,6.78333333333333
"Arizona",2006,7,24.6854838709677,59.7204301075269,2.99193548387097,5.07795698924731
"Arizona",2006,8,29.3145161290323,48.6290322580645,3.69354838709677,6.25806451612903
"Arizona",2006,9,34.55,39.9433333333333,4.42833333333333,7.155
"Arizona",2006,10,39.6129032258064,33.0290322580645,4.2241935483871,11.0935483870968
"Arizona",2006,11,45.4333333333333,28.3583333333333,5.40833333333333,16.725
"Arizona",2006,12,42.0322580645161,20.25,6.48387096774194,16.8306451612903
"Arizona",2007,1,39.758064516129,23.5161290322581,5.76612903225806,14.6451612903226
"Arizona",2007,2,39.2232142857143,28.875,6.07142857142857,12.7678571428571
"Arizona",2007,3,41.9354838709677,38.6693548387097,4.24193548387097,9.91129032258065
"Arizona",2007,4,37.75,46.3944444444444,4.19722222222222,7.55
"Arizona",2007,5,32.5967741935484,49.9301075268817,4.08602150537634,5.77956989247312
"Arizona",2007,6,33.2333333333333,46.4944444444444,4.30555555555556,6.30555555555556
"Arizona",2007,7,24.1397849462366,51.2795698924731,3.54838709677419,4.08602150537634
"Arizona",2007,8,27.741935483871,53.4731182795699,2.80645161290323,5.1505376344086
"Arizona",2007,9,29.9666666666667,43.2333333333333,2.76666666666667,6.15833333333333
"Arizona",2007,10,39.241935483871,34.5967741935484,4.04838709677419,9.87096774193548
"Arizona",2007,11,44.7583333333333,27.0166666666667,5.24166666666667,14.1333333333333
"Arizona",2007,12,38.9677419354839,21.4032258064516,4.49193548387097,13.8064516129032
"Arizona",2008,1,37.7338709677419,25.1424731182796,4.4489247311828,11.3602150537634
"Arizona",2008,2,39.9913793103448,28.6120689655172,4.60057471264368,10.4511494252874
"Arizona",2008,3,42.0591397849462,40.9784946236559,4.29032258064516,6.89784946236559
"Arizona",2008,4,43.6166666666667,51.9972222222222,4.13333333333333,7.26111111111111
"Arizona",2008,5,34.0591397849462,54.7096774193548,4.03225806451613,7.01075268817204
"Arizona",2008,6,35.7666666666667,58.1611111111111,3.75,4.95
"Arizona",2008,7,21.1559139784946,48.0752688172043,3.29032258064516,3.44623655913978
"Arizona",2008,8,19.9462365591398,45.8064516129032,2.46236559139785,2.44086021505376
"Arizona",2008,9,31.8916666666667,45.0916666666667,3.45,4.86666666666667
